震度計番号,震度観測点名称,x,y,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm]
"42313",多古町多古,,,4,42.104,42.777,19.086,48.313,3.671,3.989,1.215,4.049,0.811,0.861,0.393,0.932
"42314",一宮町一宮,,,3,22.908,24.881,7.557,27.12,2.508,2.201,0.862,2.526,0.969,1.036,0.382,1.068
"47021",山武市松尾町富士見台,,,3,35.445,41.72,19.965,41.971,2.503,2.644,1.275,2.899,0.832,1.141,0.588,1.31
"47263",長南町総合グラウンド,,,3,30.213,28.603,11.305,32.149,2.668,2.13,0.895,2.765,0.911,0.969,0.457,1.005
"41311",柏市旭町,,,4,61.598,64.445,30.785,73.133,3.282,3.639,1.029,3.769,0.697,0.802,0.445,0.821
"41312",成田市名古屋,,,4,70.322,60.76,40.779,71.269,3.477,3.021,1.585,3.635,0.771,1.14,0.399,1.268
"47051",千葉美浜区ひび野,,,4,56.979,68.528,13.587,68.942,5.067,5.252,0.865,5.737,1.274,0.988,0.437,1.335
"47682",千葉中央区中央港,,,4,30.737,33.427,20.757,44.593,3.453,4.707,1.931,5.466,0.931,1.664,0.617,1.695
"47686",成田国際空港,,,4,68.603,64.625,28.545,80.131,3.374,3.559,1.481,4.209,0.856,0.962,0.56,1.239
"41314",木更津市太田,,,3,13.908,18.543,6.071,19.171,2.389,3.013,1.012,3.292,0.92,1.043,0.599,1.24
"47373",南房総市上堀,,,3,8.097,8.715,7.598,9.155,2.079,1.961,1.644,2.406,1.074,1.237,0.75,1.273
"47672",館山市長須賀,,,3,17.508,16.156,7.013,19.202,2.584,2.715,1.158,2.82,1.048,1.063,0.399,1.198
"41317",東京江戸川区中央,,,4,54.646,60.457,23.859,62.652,3.557,4.151,1.236,4.237,0.98,0.971,0.427,1.08
"41318",東京杉並区阿佐谷,,,3,15.628,27.386,10.705,27.568,1.84,2.573,1.038,3.084,0.926,1.05,0.58,1.06
"47053",東京墨田区横川,,,3,21.374,21.329,11.722,22.189,2.062,3.081,0.93,3.544,0.798,0.66,0.392,0.895
"47054",東京江東区青海,,,3,23.654,22.622,10.027,24.443,3.109,3.202,0.881,3.367,1.527,0.962,0.357,1.539
"47055",東京新宿区西新宿,,,3,14.633,16.513,8.728,16.623,1.621,1.844,0.973,1.98,0.885,0.647,0.409,0.905
"47056",東京港区海岸,,,3,25.914,28.219,12.824,28.683,2.473,2.63,0.856,2.7,1.052,0.781,0.401,1.069
"47662",東京千代田区大手町,,,4,50.926,56.786,16.158,59.105,3.178,2.734,1.04,3.756,0.677,0.661,0.483,0.826
"47671",東京国際空港,,,3,26.223,26.996,12.292,29.986,3.419,2.836,1.35,3.47,1.708,0.94,0.404,1.783
"41319",国分寺市戸倉,,,3,24.058,29.815,12.459,31.32,2.194,1.895,1.034,2.531,0.782,0.653,0.486,0.828
"41320",八王子市大横町,,,3,17.823,17.327,8.955,20.63,2.817,1.963,1.082,3.052,0.559,0.615,0.212,0.71
"41322",川崎中原区小杉陣屋町,,,3,25.811,26.289,10.918,31.88,2.035,2.737,1.142,2.783,0.96,0.843,0.648,0.988
"41325",茅ヶ崎市茅ヶ崎,,,3,23.881,27.743,9.686,28.817,2.717,2.797,0.89,2.939,0.726,0.673,0.257,0.848
"47670",横浜中区山手町,,,4,41.997,40.573,13.932,44.431,3.629,3.304,1.229,4.61,1.407,0.685,0.54,1.411
"41323",相模原中央区中央,,,3,27.451,27.331,14.383,29.189,1.998,2.595,1.488,2.702,0.9,0.721,0.486,1.019
"41324",秦野市曽屋,,,3,14.853,19.335,5.895,20.697,1.302,1.817,0.767,1.851,0.451,0.442,0.291,0.527
"41328",長岡市幸町,,,2,5.187,4.982,3.397,6.623,1.946,1.306,1.147,1.968,0.937,0.826,0.539,0.972
"41330",小千谷市城内,,,3,12.478,7.919,6.383,12.74,2.644,2.422,1.377,2.682,1.101,1.046,0.511,1.141
"47253",出雲崎町米田,,,3,18.141,9.972,6.832,19.869,2.224,2.693,1.207,2.962,1.019,1.105,0.563,1.181
"41326",村上市塩町,,,3,10.784,11.623,7.513,15.351,1.548,1.861,1.237,1.928,0.479,0.544,0.516,0.685
"42316",胎内市新和町,,,3,11.709,15.269,12.418,17.741,2.035,2.615,2.964,2.994,0.914,1.204,1.456,1.704
"42317",五泉市村松乙,,,3,12.215,10.263,8.139,12.96,2.571,2.031,1.814,2.597,0.728,0.87,0.752,0.878
"42318",新潟西蒲区役所,,,3,15.058,12.513,5.845,15.73,4.199,4.057,1.216,4.267,1.584,2.152,0.559,2.195
"41338",甲州市塩山下於曽,,,3,17.512,20.041,7.291,25.565,2.477,2.575,1.126,3.196,0.618,0.508,0.27,0.683
"47638",甲府市飯田,,,3,23.117,19.334,10.805,23.446,2.718,2.736,1.216,2.899,0.87,0.595,0.304,1.035
"41337",大月市大月,,,3,15.772,21.159,14.416,22.162,1.494,1.476,0.845,1.944,0.601,0.414,0.225,0.603
"47622",軽井沢町追分,,,3,13.575,16.592,7.832,17.071,1.562,2.254,0.987,2.51,0.562,0.63,0.326,0.675
"47271",泰阜村梨久保,,,2,5.925,4.567,3.169,6.125,1.32,0.669,0.71,1.435,0.411,0.329,0.437,0.581
"47637",飯田市高羽町,,,3,10.292,11.365,4.406,12.34,1.541,2.082,0.709,2.143,0.573,0.609,0.272,0.646
"41343",御殿場市萩原,,,4,22.527,15.144,9.077,24.102,4.142,3.699,1.897,4.667,1.265,0.898,0.466,1.321
"41346",富士宮市弓沢町,,,3,16.869,18.936,4.675,21.029,1.366,1.758,0.836,1.816,0.484,0.57,0.322,0.586
"47657",三島市東本町,,,3,11.566,11.778,5.022,12.645,1.587,1.718,0.473,1.881,0.422,0.45,0.174,0.539
"41347",静岡清水区千歳町,,,3,7.824,10.112,2.603,10.161,1.117,1.574,0.46,1.615,0.487,0.432,0.211,0.508
"42341",愛西市稲葉町,,,2,3.398,3.344,1.061,4.23,1.328,0.91,0.358,1.423,0.96,0.542,0.164,0.963
"42101",石狩市花川,,,2,3.471,3.346,1.24,3.628,0.803,0.81,0.338,0.993,0.395,0.414,0.153,0.5
"47005",石狩市聚富,,,1,1.994,1.872,0.886,2.097,0.369,0.318,0.186,0.422,0.185,0.145,0.102,0.212
"41102",江別市高砂町,,,2,2.566,3.096,1.134,3.197,0.434,0.397,0.293,0.495,0.21,0.185,0.132,0.215
"47412",札幌中央区北２条,,,1,1.416,1.958,0.981,2.242,0.339,0.353,0.159,0.433,0.141,0.154,0.052,0.176
"41101",千歳市北栄,,,2,5.585,5.558,3.024,6.433,1.121,0.881,0.463,1.165,0.472,0.376,0.17,0.482
"47209",恵庭市漁平,,,2,1.902,2.581,1.44,2.765,0.397,0.389,0.242,0.44,0.156,0.155,0.086,0.188
"47487",新千歳空港,,,2,6.804,6.306,3.387,6.826,1.072,1.163,0.33,1.328,0.366,0.388,0.155,0.432
"47212",八雲町上の湯,,,1,1.327,0.895,0.633,1.487,0.391,0.215,0.169,0.398,0.162,0.114,0.096,0.165
"42115",七飯町桜町,,,2,3.48,3.552,1.493,3.636,0.615,0.84,0.242,0.87,0.176,0.392,0.121,0.395
"47430",函館市美原,,,2,3.405,3.939,1.436,3.962,0.625,0.623,0.311,0.742,0.228,0.195,0.146,0.284
"42114",渡島松前町福山,,,1,1.756,1.92,0.733,1.987,0.278,0.408,0.19,0.425,0.089,0.182,0.103,0.2
"47042",渡島松前町清部,,,1,0.874,1.045,0.523,1.237,0.243,0.265,0.162,0.283,0.091,0.15,0.087,0.159
"47213",知内町小谷石,,,1,2.188,1.828,1.019,2.209,0.388,0.466,0.263,0.502,0.182,0.318,0.146,0.325
"47428",檜山江差町姥神,,,2,2.536,2.387,1.837,2.991,0.613,0.78,0.436,0.885,0.255,0.297,0.12,0.358
"42103",余市町朝日町,,,1,1.325,1.359,0.641,1.398,0.48,0.399,0.151,0.484,0.191,0.21,0.064,0.214
"47411",小樽市勝納町,,,1,1.547,1.846,1.026,2.232,0.184,0.303,0.118,0.313,0.079,0.108,0.051,0.112
"47433",倶知安町南１条,,,2,2.846,2.371,1.42,3.251,0.753,0.741,0.204,0.817,0.29,0.27,0.066,0.317
"42102",岩内町高台,,,1,1.569,1.672,0.912,2.052,0.757,0.771,0.294,0.835,0.407,0.425,0.127,0.431
"47204",北竜町竜西,,,1,1.166,1.39,0.805,1.44,0.228,0.303,0.282,0.333,0.085,0.103,0.129,0.136
"41104",滝川市大町,,,2,3.121,1.865,1.421,3.175,0.843,0.441,0.421,0.891,0.31,0.214,0.161,0.319
"47223",芦別市旭町,,,2,2.251,1.747,1.239,2.404,0.418,0.39,0.284,0.458,0.168,0.182,0.125,0.218
"41103",夕張市若菜,,,1,1.385,1.515,1.031,1.693,0.403,0.315,0.206,0.412,0.151,0.102,0.087,0.153
"41105",美唄市西５条,,,2,2.396,2.845,1.248,3.166,0.466,0.45,0.219,0.492,0.123,0.148,0.07,0.159
"47413",岩見沢市５条,,,2,2.356,3.147,1.622,3.34,0.671,0.645,0.356,0.732,0.296,0.212,0.161,0.338
"47407",旭川市宮前１条,,,1,1.435,1.14,0.81,1.482,0.315,0.341,0.179,0.389,0.126,0.146,0.079,0.158
"41107",富良野市若松町,,,2,3.866,1.984,1.368,3.979,0.821,0.507,0.37,0.872,0.361,0.221,0.189,0.382
"42104",上富良野町大町,,,2,2.278,1.517,1.065,2.427,0.648,0.309,0.24,0.658,0.21,0.107,0.076,0.215
"47207",南富良野町幾寅,,,1,1.367,1.342,0.928,1.578,0.202,0.239,0.16,0.245,0.077,0.064,0.069,0.084
"47404",羽幌町南３条,,,1,1.138,0.978,0.652,1.306,0.389,0.337,0.193,0.459,0.175,0.139,0.075,0.184
"42105",美幌町東３条,,,2,3.343,2.83,1.702,3.517,0.717,0.56,0.322,0.727,0.217,0.225,0.132,0.251
"42106",斜里町本町,,,1,1.601,1.757,0.964,1.857,0.653,0.55,0.232,0.666,0.277,0.253,0.095,0.301
"42107",北見市留辺蘂町上町,,,1,1.284,1.691,0.766,1.861,0.128,0.156,0.093,0.161,0.046,0.05,0.044,0.063
"47208",遠軽町丸瀬布金湧山,,,1,1.528,1.236,0.566,1.714,0.25,0.174,0.143,0.29,0.099,0.077,0.067,0.106
"41110",胆振伊達市梅本,,,2,3.146,3.646,1.92,4.106,0.826,0.752,0.328,0.91,0.38,0.298,0.129,0.382
