震度計番号,震度観測点名称,x,y,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm]
"42309",東吾妻町原町,,,2,8.591,5.995,2.903,8.908,0.75,0.608,0.407,0.762,0.251,0.239,0.202,0.31
"47257",中之条町日影,,,3,16.634,17.305,6.667,17.499,0.823,1.053,0.546,1.071,0.295,0.255,0.18,0.349
"47353",沼田市尾瀬高等学校,,,2,18.27,15.193,6.488,21.747,0.817,0.733,0.463,0.862,0.195,0.211,0.182,0.249
"41306",富岡市七日市,,,3,22.115,18.684,7.947,22.146,1.616,1.369,0.763,1.701,0.385,0.426,0.298,0.491
"41307",桐生市織姫町,,,3,27.762,34.928,18.028,36.924,1.789,2.398,1.102,2.631,0.282,0.34,0.231,0.347
"47624",前橋市昭和町,,,3,22.701,24.621,13.001,28.877,1.669,1.837,0.858,2.099,0.598,0.504,0.324,0.67
"42312",本庄市児玉町,,,4,45.406,50.737,16.423,53.148,2.325,2.604,1.142,2.749,0.419,0.465,0.243,0.513
"47262",飯能市下直竹,,,2,11.752,13.564,5.526,13.789,0.778,0.775,0.351,0.846,0.229,0.165,0.139,0.242
"47261",小鹿野町両神薄,,,2,7.744,7.196,5.312,8.646,0.524,0.544,0.621,0.77,0.142,0.151,0.159,0.184
"47370",銚子市小畑新町,,,3,25.364,25.303,10.306,28.641,1.682,1.81,0.519,2.191,0.439,0.459,0.221,0.494
"47648",銚子市川口町,,,3,20.422,18.3,13.116,22.61,1.524,2.108,0.706,2.224,0.385,0.547,0.216,0.581
"41316",鴨川市八色,,,3,11.909,9.727,5.877,12.643,1.318,1.207,0.726,1.58,0.549,0.548,0.319,0.572
"47022",鴨川市内浦,,,2,5.17,5.023,2.58,5.286,1.01,0.957,0.434,1.316,0.53,0.426,0.19,0.659
"47674",勝浦市墨名,,,2,13.001,10.536,5.886,13.035,1.334,0.962,0.563,1.543,0.68,0.412,0.254,0.758
"41321",青梅市東青梅,,,2,17.87,17.584,6.395,23.094,0.748,0.703,0.458,0.83,0.205,0.165,0.157,0.231
"47286",神津島村金長,,,2,2.676,3.784,1.865,3.869,0.534,0.564,0.222,0.566,0.209,0.296,0.096,0.297
"47675",伊豆大島町元町,,,2,6.916,5.616,3.41,7.219,0.568,0.707,0.364,0.744,0.326,0.24,0.151,0.363
"47023",東京利島村東山,,,2,7.406,5.463,2.815,7.882,0.588,0.632,0.323,0.681,0.273,0.324,0.146,0.352
"47024",新島村式根島,,,1,2.719,3.418,1.804,3.598,0.29,0.46,0.166,0.481,0.144,0.186,0.105,0.191
"47379",新島村大原,,,2,5.218,6.405,3.518,6.518,0.56,0.584,0.305,0.791,0.206,0.259,0.106,0.278
"47025",御蔵島村西川,,,2,8.758,10.214,5.132,11.761,0.333,0.364,0.213,0.39,0.098,0.123,0.087,0.125
"47287",三宅村坪田,,,2,7.755,7.825,5.235,9.415,0.348,0.377,0.196,0.417,0.166,0.149,0.076,0.193
"47677",三宅村神着,,,2,8.356,8.127,5.831,8.681,0.405,0.403,0.175,0.44,0.098,0.125,0.079,0.135
"47026",青ヶ島村,,,2,3.732,3.181,2.006,4.221,0.337,0.338,0.107,0.389,0.083,0.098,0.042,0.102
"47377",八丈町樫立,,,1,3.623,2.447,1.357,3.847,0.178,0.159,0.11,0.183,0.08,0.056,0.045,0.08
"47678",八丈町三根,,,2,4.962,8.11,3.921,8.265,0.309,0.357,0.206,0.409,0.152,0.099,0.055,0.184
"47289",小笠原村父島三日月山,,,1,0.88,1.374,0.54,1.394,0.063,0.079,0.037,0.084,0.012,0.017,0.009,0.018
"47363",小笠原村母島,,,1,1.625,1.398,0.74,1.81,0.094,0.086,0.035,0.095,0.01,0.014,0.01,0.015
"47264",横須賀市光の丘,,,3,15.178,18.067,7.914,19.019,1.108,1.308,0.849,1.515,0.577,0.483,0.357,0.66
"42315",湯河原町中央,,,4,23.81,40.26,13.67,41.297,2.708,3.379,0.755,3.613,0.343,0.643,0.21,0.647
"47045",相模原緑区若柳,,,2,7.104,6.335,3.463,7.847,0.826,1.062,0.461,1.188,0.258,0.266,0.228,0.429
"47265",小田原市久野,,,2,8.123,7.7,4.611,9.256,1.17,0.78,0.742,1.296,0.42,0.275,0.22,0.468
"41329",糸魚川市一の宮,,,2,2.755,3.54,1.937,3.956,0.782,0.656,0.485,0.796,0.311,0.33,0.17,0.338
"47612",上越市大手町,,,3,7.794,9.258,2.385,9.991,1.349,1.135,0.462,1.632,0.466,0.425,0.223,0.551
"47255",魚沼市下折立,,,2,8.842,6.477,4.153,9.791,0.846,0.661,0.426,0.944,0.226,0.18,0.235,0.281
"47250",粟島浦村笹畑,,,2,4.702,4.72,7.714,8.637,0.563,0.804,0.701,1.001,0.237,0.478,0.388,0.636
"47252",阿賀野市畑江,,,2,8.055,6.042,5.587,8.566,1.197,0.885,1.211,1.802,0.489,0.385,0.623,0.804
"47251",佐渡市相川金山,,,1,1.803,1.51,1.576,1.908,0.225,0.425,0.328,0.452,0.117,0.237,0.172,0.268
"47602",佐渡市相川三町目,,,2,3.53,3.826,1.731,4.482,0.403,0.573,0.362,0.577,0.142,0.205,0.149,0.257
"41331",魚津市釈迦堂,,,1,1.194,0.864,0.838,1.291,0.45,0.371,0.24,0.519,0.254,0.216,0.122,0.32
"42320",富山朝日町道下,,,1,1.705,2.094,0.919,2.128,0.39,0.385,0.391,0.495,0.263,0.172,0.185,0.327
"42321",富山市八尾町福島,,,1,1.8,1.567,1.075,2.065,0.63,0.384,0.347,0.656,0.37,0.226,0.159,0.393
"47272",立山町吉峰,,,1,1.547,1.184,0.965,1.594,0.378,0.336,0.212,0.418,0.192,0.18,0.12,0.204
"47607",富山市石坂,,,1,2.127,1.595,0.946,2.259,0.818,0.552,0.296,0.881,0.402,0.24,0.169,0.444
"41332",小矢部市泉町,,,1,1.572,1.848,0.856,2.104,0.557,0.737,0.301,0.945,0.321,0.38,0.202,0.47
"42322",南砺市天池,,,1,1.332,1.015,0.719,1.46,0.337,0.331,0.26,0.374,0.2,0.168,0.108,0.204
"47606",高岡市伏木,,,1,1.306,1.248,0.678,1.359,0.555,0.429,0.215,0.557,0.274,0.236,0.119,0.277
"41333",七尾市本府中町,,,1,1.734,2.51,0.75,2.723,0.435,0.44,0.145,0.47,0.172,0.127,0.067,0.174
"42325",能登町宇出津,,,2,3.267,3.765,0.636,3.802,0.566,0.496,0.233,0.598,0.21,0.143,0.104,0.213
"47600",輪島市鳳至町,,,2,5.059,4.861,1.615,6.325,0.825,0.96,0.263,0.971,0.234,0.228,0.103,0.234
"42323",津幡町加賀爪,,,1,1.045,1.173,0.752,1.207,0.386,0.49,0.251,0.51,0.244,0.282,0.133,0.305
"47605",金沢市西念,,,1,1.413,1.583,0.72,1.812,0.551,0.718,0.334,0.718,0.398,0.391,0.174,0.446
"47616",福井市豊島,,,1,1.807,2.168,0.463,2.193,0.445,0.325,0.218,0.445,0.144,0.127,0.101,0.148
"42327",高浜町宮崎,,,1,1.345,1.875,0.575,1.895,0.191,0.232,0.128,0.236,0.102,0.054,0.058,0.105
"47631",敦賀市松栄町,,,2,1.997,1.94,0.457,2.424,0.386,0.275,0.157,0.459,0.181,0.093,0.089,0.202
"47268",身延町大磯小磯,,,3,9.744,13.971,5.126,15.482,1.296,1.26,0.722,1.422,0.359,0.369,0.227,0.463
"42328",上野原市四方津,,,2,8.44,8.817,4.685,9.211,0.928,1.624,0.567,1.644,0.322,0.317,0.245,0.44
"41339",大町市役所,,,1,1.71,1.478,0.93,1.721,0.447,0.449,0.341,0.551,0.296,0.236,0.159,0.314
"42333",山ノ内町平穏,,,1,1.467,1.541,1.731,1.924,0.425,0.278,0.317,0.43,0.259,0.123,0.193,0.26
"47610",長野市箱清水,,,2,4.316,5.674,3.297,5.858,1.058,1.419,0.564,1.474,0.484,0.594,0.216,0.668
"47685",長野市松代,,,1,1.394,1.035,1.405,1.928,0.33,0.23,0.408,0.447,0.188,0.112,0.235,0.285
"41340",上田市築地,,,3,6.87,7.45,2.819,8.191,1.121,1,0.458,1.389,0.306,0.268,0.223,0.37
"42329",佐久市下小田切,,,2,9.444,11.161,3.082,11.289,0.723,0.787,0.328,0.847,0.23,0.158,0.108,0.239
"42332",安曇野市穂高支所,,,2,2.698,3.214,1.84,3.393,0.649,0.747,0.448,0.774,0.451,0.269,0.267,0.464
"42346",筑北村坂井,,,2,4.868,3.826,1.49,5.629,0.477,0.341,0.363,0.558,0.172,0.101,0.207,0.251
"47618",松本市沢村,,,2,2.685,2.192,2,3.273,0.688,0.489,0.647,0.741,0.31,0.184,0.31,0.348
"42330",辰野町中央,,,2,3.331,3.143,1.944,3.815,0.497,0.537,0.391,0.704,0.206,0.168,0.145,0.24
"42331",飯島町飯島,,,3,8.357,7.476,4.182,9.552,1.842,1.058,0.672,1.924,0.508,0.305,0.234,0.527
"47270",伊那市高遠町荊口,,,2,4.022,4.535,2.112,5.085,0.423,0.393,0.304,0.473,0.194,0.138,0.115,0.207
"42336",下呂市森,,,1,2.135,1.98,1.399,2.143,0.389,0.291,0.239,0.448,0.167,0.118,0.105,0.2
"41341",中津川市かやの木町,,,2,4.74,5.393,2.211,6.799,0.866,0.921,0.303,0.963,0.186,0.17,0.146,0.193
"41342",美濃加茂市太田町,,,1,1.274,1.382,0.843,1.475,0.255,0.225,0.182,0.294,0.134,0.078,0.07,0.138
"47280",白川町黒川,,,1,0.802,1.063,0.841,1.13,0.308,0.199,0.186,0.347,0.186,0.116,0.094,0.199
"42334",揖斐川町三輪,,,1,1.496,1.298,0.755,1.595,0.221,0.22,0.135,0.26,0.103,0.096,0.067,0.116
"47632",岐阜市加納二之丸,,,2,1.812,2.124,0.968,2.144,0.348,0.458,0.171,0.497,0.145,0.125,0.074,0.166
"42338",伊東市大原,,,2,5.543,7.154,3.494,7.832,0.683,0.808,0.284,0.849,0.218,0.244,0.098,0.296
"47027",伊豆市中伊豆グラウンド,,,3,28.063,18.795,6.632,29.035,1.671,1.425,0.583,1.757,0.319,0.321,0.147,0.346
"47266",下田市加増野,,,2,4.395,4.482,2.091,4.692,0.507,0.485,0.263,0.54,0.178,0.175,0.108,0.206
"47666",南伊豆町石廊崎,,,2,1.992,2.611,1.932,3.019,0.309,0.452,0.195,0.47,0.135,0.151,0.083,0.159
"47668",熱海市網代,,,2,10.47,8.901,5.998,10.95,0.678,0.721,0.318,0.779,0.142,0.218,0.122,0.227
"47028",富士市富士総合運動公園,,,2,4.129,3.686,2.637,5.144,0.922,0.898,0.713,1.07,0.555,0.476,0.265,0.56
"41344",島田市旗指,,,1,1.518,1.358,0.732,1.829,0.35,0.382,0.366,0.397,0.19,0.195,0.245,0.246
"42339",島田市川根町家山,,,1,1.858,1.62,0.816,2.247,0.331,0.328,0.256,0.395,0.169,0.129,0.186,0.231
"47267",牧之原市鬼女新田,,,2,3.041,2.319,1.553,3.579,0.62,0.516,0.416,0.672,0.326,0.259,0.283,0.385
"47656",静岡駿河区曲金,,,2,8.284,8.21,1.598,9.515,0.872,0.741,0.296,0.89,0.308,0.286,0.174,0.333
"41345",袋井市新屋,,,2,5.173,5.786,2.226,7.246,1.152,0.984,0.781,1.214,0.449,0.334,0.464,0.59
"42340",浜松北区三ヶ日町,,,2,2.976,5.431,0.821,5.594,0.336,0.484,0.179,0.497,0.097,0.116,0.095,0.145
"47029",掛川市篠場,,,2,2.476,1.772,1.916,2.681,0.538,0.773,0.715,0.811,0.337,0.394,0.428,0.549
"47654",浜松中区高丘東,,,2,2.141,2.182,1.181,3.144,0.505,0.461,0.337,0.566,0.284,0.206,0.188,0.294
"47655",御前崎市御前崎,,,2,2.47,2.942,1.069,3.284,0.779,0.736,0.36,0.802,0.355,0.419,0.231,0.445
"41348",豊橋市向山,,,2,2.882,2.635,1.185,3.06,0.695,0.537,0.24,0.708,0.217,0.15,0.111,0.218
"42344",新城市乗本,,,1,0.675,0.948,0.802,0.952,0.177,0.189,0.221,0.256,0.091,0.095,0.103,0.145
"47653",田原市福江町,,,2,2.272,2.89,0.891,3.409,0.413,0.56,0.205,0.603,0.189,0.118,0.061,0.192
"41349",豊田市小坂本町,,,2,2.119,2.32,0.918,2.895,0.303,0.313,0.244,0.399,0.108,0.115,0.153,0.159
"41350",岡崎市若宮町,,,1,1.035,0.812,0.898,1.102,0.242,0.177,0.201,0.284,0.118,0.094,0.123,0.15
"41351",常滑市新開町,,,2,2.185,2.569,1.12,2.738,0.596,0.467,0.33,0.675,0.353,0.294,0.11,0.356
"42342",南知多町豊浜,,,1,0.831,1.045,0.766,1.149,0.313,0.426,0.227,0.475,0.184,0.193,0.144,0.242
"42343",西尾市一色町,,,2,1.765,2.007,0.717,2.287,0.471,0.383,0.18,0.516,0.196,0.143,0.077,0.199
"47031",一宮市千秋,,,1,2.166,1.988,0.758,2.405,0.459,0.349,0.213,0.466,0.2,0.126,0.079,0.206
"47281",豊田市大洞町,,,1,1.491,1.891,1.086,1.962,0.281,0.325,0.279,0.371,0.135,0.163,0.151,0.203
"47652",中部国際空港,,,1,2.07,1.437,0.814,2.084,0.503,0.523,0.188,0.602,0.22,0.21,0.08,0.228
"41352",鈴鹿市西条,,,1,1.614,1.569,0.906,1.903,0.583,0.732,0.258,0.772,0.373,0.523,0.119,0.539
"47684",四日市市日永,,,2,2.231,2.248,1.199,2.301,0.65,0.693,0.297,0.729,0.399,0.52,0.142,0.542
"47649",伊賀市緑ケ丘本町,,,1,1.266,1.041,0.483,1.322,0.242,0.188,0.108,0.255,0.104,0.077,0.056,0.119
"47651",津市島崎町,,,1,1.595,2.008,0.79,2.086,0.654,0.429,0.206,0.664,0.377,0.269,0.115,0.384
"47761",彦根市城町,,,2,3.26,2.288,1.276,3.296,0.612,0.411,0.237,0.615,0.146,0.144,0.065,0.164
"41401",大津市御陵町,,,1,1.578,1.393,0.65,1.819,0.344,0.251,0.16,0.36,0.146,0.103,0.057,0.149
"41402",近江八幡市桜宮町,,,2,2.811,3.438,1.155,3.467,0.638,0.515,0.231,0.74,0.251,0.163,0.07,0.271
"42401",大津市南小松,,,1,1.702,1.065,0.615,1.846,0.552,0.284,0.196,0.567,0.243,0.097,0.074,0.244
"42402",甲賀市水口町,,,1,1.599,1.411,0.734,1.955,0.291,0.248,0.137,0.296,0.099,0.095,0.089,0.114
"41403",宇治市宇治琵琶,,,1,1.115,0.756,0.375,1.123,0.266,0.157,0.106,0.275,0.087,0.069,0.054,0.089
"41404",亀岡市安町,,,1,0.884,0.697,0.745,0.988,0.184,0.132,0.118,0.184,0.072,0.068,0.064,0.078
"41406",箕面市箕面,,,1,0.552,1.009,0.809,1.099,0.28,0.246,0.224,0.281,0.149,0.102,0.068,0.162
"41407",高槻市桃園町,,,1,1.202,1.355,1.108,1.415,0.383,0.403,0.24,0.437,0.188,0.153,0.087,0.206
"47771",大阪国際空港,,,1,1.188,1.484,0.795,1.658,0.364,0.448,0.19,0.495,0.213,0.207,0.079,0.262
"47772",大阪中央区大手前,,,1,1.84,1.681,1.173,2.095,0.572,0.556,0.312,0.663,0.326,0.387,0.108,0.444
"41408",富田林市本町,,,1,0.958,0.828,0.704,0.989,0.256,0.203,0.147,0.264,0.101,0.072,0.08,0.105
"41409",岸和田市岸城町,,,1,0.961,1.211,0.828,1.459,0.336,0.41,0.226,0.5,0.131,0.245,0.087,0.267
"41410",大阪堺市中区深井清水町,,,1,1.199,1.149,0.73,1.378,0.42,0.487,0.227,0.518,0.2,0.268,0.088,0.299
"47747",豊岡市桜町,,,2,1.165,1.607,0.443,1.675,0.246,0.259,0.079,0.26,0.09,0.052,0.034,0.092
"41411",西宮市宮前町,,,1,0.952,0.806,0.513,1.034,0.29,0.316,0.151,0.331,0.162,0.224,0.07,0.229
"41414",加古川市加古川町,,,1,0.939,1.048,0.344,1.147,0.32,0.249,0.101,0.321,0.115,0.089,0.053,0.118
"47780",奈良市西紀寺町,,,1,1.705,1.497,0.871,1.97,0.415,0.363,0.145,0.474,0.165,0.177,0.056,0.182
"47742",境港市東本町,,,1,0.648,0.7,0.403,0.784,0.118,0.176,0.084,0.197,0.047,0.087,0.045,0.089
"47766",呉市宝町,,,1,0.867,0.411,0.076,0.869,0.111,0.064,0.014,0.111,0.016,0.011,0.007,0.016
