震度計番号,震度観測点名称,緯度,経度,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm],地域名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
41205,釜石市只越町,39.276,141.8856,4,91.917,122.739,34.822,123.242,1.907,2.325,1.732,2.453,0.214,0.341,0.288,0.425,岩手県沿岸南部,釜石市只越町3-9-13（釜石市役所）,39,16.6,141,53.1,199604011200,
47238,大船渡市猪川町,39.0833,141.6649,4,215.58,184.74,49.208,217.514,3.183,2.452,1.703,3.422,0.383,0.429,0.45,0.543,岩手県沿岸南部,大船渡市猪川町字西山5,39,5.0,141,39.9,199407151200,
47512,大船渡市大船渡町,39.0653,141.7146,4,97.173,127.36,32.377,139.524,3.219,4.059,1.618,4.623,0.336,0.59,0.376,0.626,岩手県沿岸南部,大船渡市大船渡町字赤沢17-3（大船渡特別地域気象観測所）,39,3.9,141,42.9,196307      ,
47584,盛岡市山王町,39.6987,141.1658,4,86.057,73.045,27.831,91.899,4.487,5.221,1.029,5.516,0.413,0.568,0.251,0.604,岩手県内陸北部,盛岡市山王町7-60（盛岡地方気象台）,39,41.9,141,9.9,19230901    ,
42207,一関市大東町,39.0171,141.3956,4,119.083,130.66,49.809,161.393,3.693,3.903,1.308,4.107,0.454,0.566,0.404,0.586,岩手県内陸南部,一関市大東町大原字川内96-1（一関市役所大東支所）,39,1.0,141,23.7,201503301200,
47237,花巻市大迫町,39.4779,141.2899,4,72.669,81.387,22.161,83.143,2.028,3.449,1.07,3.701,0.279,0.452,0.328,0.493,岩手県内陸南部,花巻市大迫町大迫9-63,39,28.7,141,17.4,199407151200,
47012,気仙沼市本吉町西川内,38.8108,141.4738,4,111.997,109.209,32.219,122.804,2.111,3.117,1.432,3.167,0.524,0.656,0.434,0.686,宮城県北部,気仙沼市本吉町西川内87-1,38,48.6,141,28.4,201210021200,
42217,五城目町西磯ノ目,39.9438,140.1111,3,18.496,16.01,4.343,21.248,1.659,1.959,0.736,1.981,0.496,0.506,0.269,0.602,秋田県沿岸北部,南秋田郡五城目町西磯ノ目1-1-1（五城目町役場）,39,56.6,140,6.7,199604011200,
47233,男鹿市男鹿中,39.9195,139.8066,2,4.636,6.883,2.407,7.209,1.225,1.141,0.429,1.358,0.654,0.414,0.192,0.701,秋田県沿岸北部,男鹿市男鹿中滝川三ツ森上台159-6,39,55.2,139,48.4,201203301200,
47232,大館市比内町味噌内,40.1916,140.6326,3,6.96,7.36,4.433,9.134,1.01,1.884,0.906,2.024,0.295,0.631,0.341,0.681,秋田県内陸北部,大館市比内町味噌内字二又沢47,40,11.5,140,38.0,199407151200,
47234,秋田美郷町六郷東根,39.3992,140.6301,3,23.466,29.623,20.694,32.008,2.773,2.666,2.088,3.582,0.622,0.657,0.533,0.818,秋田県内陸南部,仙北郡美郷町六郷東根字湯田沢,39,24.0,140,37.8,199407151200,
47241,鶴岡市温海川,38.5961,139.7104,3,25.591,29.202,13.361,29.385,2.805,2.608,1.24,3.082,0.464,0.804,0.418,0.84,山形県庄内,鶴岡市温海川字越沢,38,35.8,139,42.6,199407151200,
47249,酒田市飛島,39.1978,139.5531,2,4.547,5.553,5.845,6.878,0.721,1.061,0.642,1.246,0.314,0.277,0.177,0.355,山形県庄内,酒田市飛島字中村乙32-4,39,11.9,139,33.2,199407151200,
42223,南会津町田島,37.2002,139.7732,4,26.376,36.809,14.078,38.099,2.286,3.12,1.129,3.327,0.436,0.527,0.301,0.558,福島県会津,南会津郡南会津町田島字後原甲3531-1（南会津町役場）,37,12.0,139,46.4,201703081200,
47248,柳津町大成沢,37.4096,139.7011,3,37.577,23.735,14.304,38.033,1.859,1.39,0.947,1.935,0.478,0.366,0.341,0.491,福島県会津,河沼郡柳津町大字大成沢字下原180,37,24.6,139,42.1,199407151200,
47019,ひたちなか市山ノ上町,36.3405,140.5868,4,67.481,42.948,29.642,68.246,3.065,1.797,0.796,3.084,0.312,0.279,0.221,0.341,茨城県北部,ひたちなか市山ノ上町6488(那珂湊第一小学校）,36,20.4,140,35.2,201207031200,
47259,常陸太田市町屋町,36.614,140.5653,4,118.563,130.476,32.635,146.969,2.346,2.698,1.314,2.875,0.261,0.344,0.42,0.538,茨城県北部,常陸太田市町屋町字北沢2415-2,36,36.8,140,33.9,199407151200,
47628,石岡市柿岡,36.2342,140.1893,4,105.531,113.753,99.361,128.796,5.481,4.695,2.781,5.749,0.6,0.589,0.331,0.76,茨城県南部,石岡市柿岡595（地磁気観測所）,36,14.1,140,11.4,19260501    ,
47690,日光市中宮祠,36.7404,139.4957,3,13.928,15.385,8.65,17.562,0.891,1.023,0.7,1.247,0.208,0.272,0.231,0.296,栃木県北部,日光市中宮祠2478（日光市役所中宮祠出張所）,36,44.4,139,29.7,201003301100,
41304,栃木市旭町,36.3772,139.7363,4,89.229,66.388,19.36,97.402,2.127,2.349,0.982,2.717,0.38,0.282,0.205,0.455,栃木県南部,栃木市旭町33-1（栃木市図書館）,36,22.6,139,44.2,199604011200,
42306,益子町益子,36.4675,140.0931,4,45.065,70.521,19.562,79.067,2.424,4.139,1.239,4.375,0.337,0.442,0.285,0.5,栃木県南部,芳賀郡益子町大字益子2030（益子町役場）,36,28.0,140,5.6,199604011200,
41305,沼田市西倉内町,36.6461,139.0428,3,32.628,39.905,19.943,46.681,2.055,2.461,1.02,2.713,0.586,0.375,0.242,0.613,群馬県北部,沼田市西倉内町746（沼田小学校）,36,38.8,139,2.6,201003301100,
42309,東吾妻町原町,36.5714,138.8212,2,8.591,5.995,2.903,8.908,0.75,0.608,0.407,0.762,0.251,0.239,0.202,0.31,群馬県北部,吾妻郡東吾妻町大字原町5031,36,34.3,138,49.3,201903201200,
47257,中之条町日影,36.5647,138.6362,3,16.634,17.305,6.667,17.499,0.823,1.053,0.546,1.071,0.295,0.255,0.18,0.349,群馬県北部,吾妻郡中之条町大字日影132-2,36,33.9,138,38.2,199407151200,
47353,沼田市尾瀬高等学校,36.7301,139.2232,2,18.27,15.193,6.488,21.747,0.817,0.733,0.463,0.862,0.195,0.211,0.182,0.249,群馬県北部,沼田市利根町平川1435-1（群馬県立尾瀬高等学校）,36,43.8,139,13.4,202010291200,
41306,富岡市七日市,36.2639,138.8803,3,22.115,18.684,7.947,22.146,1.616,1.369,0.763,1.701,0.385,0.426,0.298,0.491,群馬県南部,富岡市七日市400-1（富岡市立図書館）,36,15.8,138,52.8,199604011200,
41307,桐生市織姫町,36.4055,139.3313,3,27.762,34.928,18.028,36.924,1.789,2.398,1.102,2.631,0.282,0.34,0.231,0.347,群馬県南部,桐生市織姫町1-1（桐生市役所）,36,24.3,139,19.9,199604011200,
47624,前橋市昭和町,36.4055,139.0608,3,22.701,24.621,13.001,28.877,1.669,1.837,0.858,2.099,0.598,0.504,0.324,0.67,群馬県南部,前橋市昭和町3-20-2（前橋地方気象台）,36,24.3,139,3.6,201602171200,
42312,本庄市児玉町,36.1907,139.1279,4,45.406,50.737,16.423,53.148,2.325,2.604,1.142,2.749,0.419,0.465,0.243,0.513,埼玉県北部,本庄市児玉町八幡山368（本庄市児玉総合支所）,36,11.4,139,7.7,201303261200,
47262,飯能市下直竹,35.8397,139.2787,2,11.752,13.564,5.526,13.789,0.778,0.775,0.351,0.846,0.229,0.165,0.139,0.242,埼玉県南部,飯能市大字下直竹38（南高麗小学校）,35,50.4,139,16.7,202003121200,
