震度計番号,震度観測点名称,緯度,経度,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm],地域名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
42328,上野原市四方津,35.6134,139.0815,2,8.44,8.817,4.685,9.211,0.928,1.624,0.567,1.644,0.322,0.317,0.245,0.44,山梨県東部・富士五湖,上野原市四方津940-2（巌こども園）,35,36.8,139,4.9,201810011200,
41339,大町市役所,36.5024,137.8516,1,1.71,1.478,0.93,1.721,0.447,0.449,0.341,0.551,0.296,0.236,0.159,0.314,長野県北部,大町市大町3887（大町市役所）,36,30.1,137,51.1,199604011200,
42333,山ノ内町平穏,36.7446,138.4128,1,1.467,1.541,1.731,1.924,0.425,0.278,0.317,0.43,0.259,0.123,0.193,0.26,長野県北部,下高井郡山ノ内町大字平穏3352-1（山ノ内町役場）,36,44.7,138,24.8,199604011200,
47610,長野市箱清水,36.6627,138.1926,2,4.316,5.674,3.297,5.858,1.058,1.419,0.564,1.474,0.484,0.594,0.216,0.668,長野県北部,長野市箱清水1-8-18（長野地方気象台）,36,39.8,138,11.6,191601      ,
47685,長野市松代,36.5439,138.206,1,1.394,1.035,1.405,1.928,0.33,0.23,0.408,0.447,0.188,0.112,0.235,0.285,長野県北部,長野市松代町西条3511（松代地震観測所）,36,32.6,138,12.4,200312011200,
41340,上田市築地,36.3992,138.2081,3,6.87,7.45,2.819,8.191,1.121,1.0,0.458,1.389,0.306,0.268,0.223,0.37,長野県中部,上田市築地580番地（上田古戦場公園室内多目的運動場）,36,24.0,138,12.5,201312051200,
42329,佐久市下小田切,36.1932,138.4773,2,9.444,11.161,3.082,11.289,0.723,0.787,0.328,0.847,0.23,0.158,0.108,0.239,長野県中部,佐久市下小田切8-5,36,11.6,138,28.6,199604011200,
42332,安曇野市穂高支所,36.3385,137.8868,2,2.698,3.214,1.84,3.393,0.649,0.747,0.448,0.774,0.451,0.269,0.267,0.464,長野県中部,安曇野市穂高6658（安曇野市穂高支所）,36,20.3,137,53.2,201502181200,
42346,筑北村坂井,36.4503,138.0686,2,4.868,3.826,1.49,5.629,0.477,0.341,0.363,0.558,0.172,0.101,0.207,0.251,長野県中部,東筑摩郡筑北村坂井5687-2（筑北村坂井総合支所）,36,27.0,138,4.1,201003311300,
47618,松本市沢村,36.2467,137.9704,2,2.685,2.192,2.0,3.273,0.688,0.489,0.647,0.741,0.31,0.184,0.31,0.348,長野県中部,松本市沢村1-7-13（松本特別地域気象観測所）,36,14.8,137,58.2,200911061700,
42330,辰野町中央,35.9823,137.9876,2,3.331,3.143,1.944,3.815,0.497,0.537,0.391,0.704,0.206,0.168,0.145,0.24,長野県南部,上伊那郡辰野町中央1（辰野町役場）,35,58.9,137,59.3,199604011200,
42331,飯島町飯島,35.6767,137.9195,3,8.357,7.476,4.182,9.552,1.842,1.058,0.672,1.924,0.508,0.305,0.234,0.527,長野県南部,上伊那郡飯島町飯島2537（飯島町役場）,35,40.6,137,55.2,200103221200,
47270,伊那市高遠町荊口,35.8766,138.1313,2,4.022,4.535,2.112,5.085,0.423,0.393,0.304,0.473,0.194,0.138,0.115,0.207,長野県南部,伊那市高遠町荊口1119,35,52.6,138,7.9,199407151200,
42336,下呂市森,35.8058,137.2441,1,2.135,1.98,1.399,2.143,0.389,0.291,0.239,0.448,0.167,0.118,0.105,0.2,岐阜県飛騨,下呂市森960（下呂市役所・下呂庁舎）,35,48.3,137,14.6,199604011200,
41341,中津川市かやの木町,35.4891,137.5004,2,4.74,5.393,2.211,6.799,0.866,0.921,0.303,0.963,0.186,0.17,0.146,0.193,岐阜県美濃東部,中津川市かやの木町1-10（中津川市消防本部）,35,29.3,137,30.0,199604011200,
41342,美濃加茂市太田町,35.44,137.0167,1,1.274,1.382,0.843,1.475,0.255,0.225,0.182,0.294,0.134,0.078,0.07,0.138,岐阜県美濃東部,美濃加茂市太田町3425-1（中央公民館）,35,26.4,137,1.0,199604011200,
47280,白川町黒川,35.6039,137.3547,1,0.802,1.063,0.841,1.13,0.308,0.199,0.186,0.347,0.186,0.116,0.094,0.199,岐阜県美濃東部,加茂郡白川町黒川字丸山6753-2（黒川上水道貯水場）,35,36.2,137,21.3,199407151200,
42334,揖斐川町三輪,35.4874,136.5678,1,1.496,1.298,0.755,1.595,0.221,0.22,0.135,0.26,0.103,0.096,0.067,0.116,岐阜県美濃中西部,揖斐郡揖斐川町三輪133（揖斐川町役場）,35,29.2,136,34.1,201203271200,
47632,岐阜市加納二之丸,35.4006,136.7626,2,1.812,2.124,0.968,2.144,0.348,0.458,0.171,0.497,0.145,0.125,0.074,0.166,岐阜県美濃中西部,岐阜市加納二之丸6（岐阜地方気象台）,35,24.0,136,45.8,1883        ,
42338,伊東市大原,34.9654,139.102,2,5.543,7.154,3.494,7.832,0.683,0.808,0.284,0.849,0.218,0.244,0.098,0.296,静岡県伊豆,伊東市大原2-1-1（伊東市役所）,34,57.9,139,6.1,199509301500,
47027,伊豆市中伊豆グラウンド,34.9588,139.0087,3,28.063,18.795,6.632,29.035,1.671,1.425,0.583,1.757,0.319,0.321,0.147,0.346,静岡県伊豆,伊豆市八幡字六仙山959-1（中伊豆グラウンド）,34,57.5,139,0.5,201210021200,
47266,下田市加増野,34.7212,138.875,2,4.395,4.482,2.091,4.692,0.507,0.485,0.263,0.54,0.178,0.175,0.108,0.206,静岡県伊豆,下田市加増野491,34,43.3,138,52.5,199407151200,
47666,南伊豆町石廊崎,34.6038,138.8429,2,1.992,2.611,1.932,3.019,0.309,0.452,0.195,0.47,0.135,0.151,0.083,0.159,静岡県伊豆,賀茂郡南伊豆町石廊崎石室山546-4（石廊崎特別地域気象観測所）,34,36.2,138,50.6,201402261200,
47668,熱海市網代,35.0482,139.0925,2,10.47,8.901,5.998,10.95,0.678,0.721,0.318,0.779,0.142,0.218,0.122,0.227,静岡県伊豆,熱海市網代195（網代小学校）,35,2.9,139,5.6,201003301100,
47028,富士市富士総合運動公園,35.194,138.6851,2,4.129,3.686,2.637,5.144,0.922,0.898,0.713,1.07,0.555,0.476,0.265,0.56,静岡県東部,富士市中野678（富士総合運動公園）,35,11.6,138,41.1,201210021200,
41344,島田市旗指,34.8447,138.1748,1,1.518,1.358,0.732,1.829,0.35,0.382,0.366,0.397,0.19,0.195,0.245,0.246,静岡県中部,島田市旗指77-1（島田第二中学校）,34,50.7,138,10.5,202005131200,
42339,島田市川根町家山,34.9391,138.0758,1,1.858,1.62,0.816,2.247,0.331,0.328,0.256,0.395,0.169,0.129,0.186,0.231,静岡県中部,島田市川根町家山420（川根小学校）,34,56.3,138,4.5,200803191200,
47267,牧之原市鬼女新田,34.6777,138.183,2,3.041,2.319,1.553,3.579,0.62,0.516,0.416,0.672,0.326,0.259,0.283,0.385,静岡県中部,牧之原市鬼女新田字涼松1069-1,34,40.7,138,11.0,199407151200,
47656,静岡駿河区曲金,34.976,138.4035,2,8.284,8.21,1.598,9.515,0.872,0.741,0.296,0.89,0.308,0.286,0.174,0.333,静岡県中部,静岡市駿河区曲金2-1-5（静岡地方気象台）,34,58.6,138,24.2,201003311300,
41345,袋井市新屋,34.7502,137.9239,2,5.173,5.786,2.226,7.246,1.152,0.984,0.781,1.214,0.449,0.334,0.464,0.59,静岡県西部,袋井市新屋1-1-1（袋井市役所）,34,45.0,137,55.4,199604011200,
42340,浜松北区三ヶ日町,34.8031,137.556,2,2.976,5.431,0.821,5.594,0.336,0.484,0.179,0.497,0.097,0.116,0.095,0.145,静岡県西部,浜松市北区三ヶ日町三ヶ日500-1（三ヶ日協働センター）,34,48.2,137,33.4,199604011200,
47029,掛川市篠場,34.751,137.9857,2,2.476,1.772,1.916,2.681,0.538,0.773,0.715,0.811,0.337,0.394,0.428,0.549,静岡県西部,掛川市篠場671-1（小笠山総合運動公園）,34,45.1,137,59.1,201210021200,
47654,浜松中区高丘東,34.754,137.7116,2,2.141,2.182,1.181,3.144,0.505,0.461,0.337,0.566,0.284,0.206,0.188,0.294,静岡県西部,浜松市中区高丘東1丁目101-7（浜松特別地域気象観測所）,34,45.2,137,42.7,201211271200,
47655,御前崎市御前崎,34.6048,138.2136,2,2.47,2.942,1.069,3.284,0.779,0.736,0.36,0.802,0.355,0.419,0.231,0.445,静岡県西部,御前崎市御前崎4146（御前崎特別地域気象観測所）,34,36.3,138,12.8,201810241200,
41348,豊橋市向山,34.7572,137.4074,2,2.882,2.635,1.185,3.06,0.695,0.537,0.24,0.708,0.217,0.15,0.111,0.218,愛知県東部,豊橋市向山町字池端55-1（向山緑地内）,34,45.4,137,24.4,199604011200,
42344,新城市乗本,34.9309,137.5742,1,0.675,0.948,0.802,0.952,0.177,0.189,0.221,0.256,0.091,0.095,0.103,0.145,愛知県東部,新城市乗本字長筋79-2（新城市鳳来総合支所乗本倉庫）,34,55.9,137,34.5,199604011200,
47653,田原市福江町,34.6297,137.0942,2,2.272,2.89,0.891,3.409,0.413,0.56,0.205,0.603,0.189,0.118,0.061,0.192,愛知県東部,田原市福江町金五郎坂56-2（伊良湖特別地域気象観測所）,34,37.8,137,5.7,200910011300,
41349,豊田市小坂本町,35.0871,137.1505,2,2.119,2.32,0.918,2.895,0.303,0.313,0.244,0.399,0.108,0.115,0.153,0.159,愛知県西部,豊田市小坂本町1-25（豊田産業文化センター）,35,5.2,137,9.0,199604011200,
41350,岡崎市若宮町,34.9528,137.1793,1,1.035,0.812,0.898,1.102,0.242,0.177,0.201,0.284,0.118,0.094,0.123,0.15,愛知県西部,岡崎市若宮町1-105（若宮公園）,34,57.2,137,10.8,200801302030,
41351,常滑市新開町,34.8863,136.8324,2,2.185,2.569,1.12,2.738,0.596,0.467,0.33,0.675,0.353,0.294,0.11,0.356,愛知県西部,常滑市新開町4-1（常滑市役所）,34,53.2,136,49.9,199604011200,
42342,南知多町豊浜,34.7151,136.9291,1,0.831,1.045,0.766,1.149,0.313,0.426,0.227,0.475,0.184,0.193,0.144,0.242,愛知県西部,知多郡南知多町大字豊浜字貝ヶ坪18（南知多町役場）,34,42.9,136,55.7,199604011200,
42343,西尾市一色町,34.8123,137.0298,2,1.765,2.007,0.717,2.287,0.471,0.383,0.18,0.516,0.196,0.143,0.077,0.199,愛知県西部,西尾市一色町前野新田38-1（西尾市役所一色支所会議棟駐車場）,34,48.7,137,1.8,201603231200,
47031,一宮市千秋,35.302,136.8431,1,2.166,1.988,0.758,2.405,0.459,0.349,0.213,0.466,0.2,0.126,0.079,0.206,愛知県西部,一宮市千秋町佐野字向農756（愛知県一宮総合運動場）,35,18.1,136,50.6,201210021200,
47281,豊田市大洞町,35.2688,137.2534,1,1.491,1.891,1.086,1.962,0.281,0.325,0.279,0.371,0.135,0.163,0.151,0.203,愛知県西部,豊田市大洞町鎌ケ平880-25,35,16.1,137,15.2,199407151200,
47652,中部国際空港,34.8635,136.8143,1,2.07,1.437,0.814,2.084,0.503,0.523,0.188,0.602,0.22,0.21,0.08,0.228,愛知県西部,常滑市セントレア1-1（中部航空地方気象台）,34,51.8,136,48.9,200804011200,
41352,鈴鹿市西条,34.8787,136.5687,1,1.614,1.569,0.906,1.903,0.583,0.732,0.258,0.772,0.373,0.523,0.119,0.539,三重県北部,鈴鹿市西条5-117（三重県鈴鹿庁舎）,34,52.7,136,34.1,199604011200,
47684,四日市市日永,34.9401,136.5803,2,2.231,2.248,1.199,2.301,0.65,0.693,0.297,0.729,0.399,0.52,0.142,0.542,三重県北部,四日市市日永（南部丘陵公園）,34,56.4,136,34.8,200007181200,
47649,伊賀市緑ケ丘本町,34.7619,136.1421,1,1.266,1.041,0.483,1.322,0.242,0.188,0.108,0.255,0.104,0.077,0.056,0.119,三重県中部,伊賀市緑ケ丘本町1507-2（上野特別地域気象観測所）,34,45.7,136,8.5,201003311300,
47651,津市島崎町,34.7344,136.5202,1,1.595,2.008,0.79,2.086,0.654,0.429,0.206,0.664,0.377,0.269,0.115,0.384,三重県中部,津市島崎町327-2（津地方気象台）,34,44.1,136,31.2,192001      ,
47761,彦根市城町,35.2761,136.2437,2,3.26,2.288,1.276,3.296,0.612,0.411,0.237,0.615,0.146,0.144,0.065,0.164,滋賀県北部,彦根市城町2-5-25（彦根地方気象台）,35,16.6,136,14.6,200803131200,
41401,大津市御陵町,35.0175,135.8545,1,1.578,1.393,0.65,1.819,0.344,0.251,0.16,0.36,0.146,0.103,0.057,0.149,滋賀県南部,大津市御陵町3-1,35,1.0,135,51.3,199604011200,
41402,近江八幡市桜宮町,35.1274,136.098,2,2.811,3.438,1.155,3.467,0.638,0.515,0.231,0.74,0.251,0.163,0.07,0.271,滋賀県南部,近江八幡市桜宮町214-1（近江八幡市役所）,35,7.6,136,5.9,201003151100,
42401,大津市南小松,35.236,135.9558,1,1.702,1.065,0.615,1.846,0.552,0.284,0.196,0.567,0.243,0.097,0.074,0.244,滋賀県南部,大津市南小松字北カヤ1171-2（大津市立小松小学校）,35,14.2,135,57.3,201412191200,
42402,甲賀市水口町,34.9657,136.1659,1,1.599,1.411,0.734,1.955,0.291,0.248,0.137,0.296,0.099,0.095,0.089,0.114,滋賀県南部,甲賀市水口町水口6053,34,57.9,136,10.0,201703171200,
41403,宇治市宇治琵琶,34.8837,135.7996,1,1.115,0.756,0.375,1.123,0.266,0.157,0.106,0.275,0.087,0.069,0.054,0.089,京都府南部,宇治市宇治琵琶33,34,53.0,135,48.0,199604011200,
41404,亀岡市安町,35.0128,135.5735,1,0.884,0.697,0.745,0.988,0.184,0.132,0.118,0.184,0.072,0.068,0.064,0.078,京都府南部,亀岡市安町野々神8,35,0.8,135,34.4,199604011200,
41406,箕面市箕面,34.8319,135.4708,1,0.552,1.009,0.809,1.099,0.28,0.246,0.224,0.281,0.149,0.102,0.068,0.162,大阪府北部,箕面市箕面5-11-19,34,49.9,135,28.3,199604011200,
41407,高槻市桃園町,34.8454,135.6169,1,1.202,1.355,1.108,1.415,0.383,0.403,0.24,0.437,0.188,0.153,0.087,0.206,大阪府北部,高槻市桃園町2-1,34,50.7,135,37.0,199503300900,
47771,大阪国際空港,34.7888,135.4442,1,1.188,1.484,0.795,1.658,0.364,0.448,0.19,0.495,0.213,0.207,0.079,0.262,大阪府北部,豊中市蛍池西町3-371,34,47.3,135,26.7,200707021200,
47772,大阪中央区大手前,34.6821,135.5184,1,1.84,1.681,1.173,2.095,0.572,0.556,0.312,0.663,0.326,0.387,0.108,0.444,大阪府北部,大阪市中央区大手前4-1-76（大阪管区気象台）,34,40.9,135,31.1,188201      ,
41408,富田林市本町,34.503,135.6002,1,0.958,0.828,0.704,0.989,0.256,0.203,0.147,0.264,0.101,0.072,0.08,0.105,大阪府南部,富田林市本町16-28,34,30.2,135,36.0,199604011200,
41409,岸和田市岸城町,34.4582,135.3702,1,0.961,1.211,0.828,1.459,0.336,0.41,0.226,0.5,0.131,0.245,0.087,0.267,大阪府南部,岸和田市岸城町1804-1,34,27.5,135,22.2,199604011200,
41410,大阪堺市中区深井清水町,34.5336,135.4918,1,1.199,1.149,0.73,1.378,0.42,0.487,0.227,0.518,0.2,0.268,0.088,0.299,大阪府南部,堺市中区深井清水町1426,34,32.0,135,29.5,199604011200,
47747,豊岡市桜町,35.5358,134.8226,2,1.165,1.607,0.443,1.675,0.246,0.259,0.079,0.26,0.09,0.052,0.034,0.092,兵庫県北部,豊岡市桜町5（豊岡特別地域気象観測所）,35,32.2,134,49.4,201001051200,
41411,西宮市宮前町,34.7316,135.3351,1,0.952,0.806,0.513,1.034,0.29,0.316,0.151,0.331,0.162,0.224,0.07,0.229,兵庫県南東部,西宮市宮前町3-5,34,43.9,135,20.1,199501201200,
41414,加古川市加古川町,34.7566,134.8416,1,0.939,1.048,0.344,1.147,0.32,0.249,0.101,0.321,0.115,0.089,0.053,0.118,兵庫県南東部,加古川市加古川町北在家2000(加古川市役所）,34,45.4,134,50.5,199604011200,
47780,奈良市西紀寺町,34.6743,135.8322,1,1.705,1.497,0.871,1.97,0.415,0.363,0.145,0.474,0.165,0.177,0.056,0.182,奈良県,奈良市西紀寺町12-１（奈良地方気象台）,34,40.5,135,49.9,201703091200,
47742,境港市東本町,35.5448,133.2351,1,0.648,0.7,0.403,0.784,0.118,0.176,0.084,0.197,0.047,0.087,0.045,0.089,鳥取県西部,境港市東本町64（境特別地域気象観測所）,35,32.7,133,14.1,1887        ,
47766,呉市宝町,34.2412,132.5498,1,0.867,0.411,0.076,0.869,0.111,0.064,0.014,0.111,0.016,0.011,0.007,0.016,広島県南西部,呉市宝町9-25（呉特別地域気象観測所）,34,14.5,132,33.0,1894        ,
