地域名称,震度観測点名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
福岡県福岡,福岡早良区板屋,福岡市早良区大字板屋530（福岡市立背振少年自然の家）,33,25.8,130,23.1,199604011200,
福岡県福岡,福津市手光,福津市手光2222（福津市中央公民館）,33,46.4,130,29.5,199604011200,
福岡県福岡,糸島市志摩初,糸島市志摩初8（志摩庁舎）,33,35.0,130,11.1,199604011200,
福岡県北九州,北九州八幡東区桃園,北九州市八幡東区桃園4-1（北九州市立桃園球場）,33,51.7,130,47.1,199604011200,
福岡県北九州,苅田町若久,京都郡苅田町若久町3-31（向山公園）,33,47.9,130,58.6,199604011200,
福岡県筑豊,飯塚市川島（旧）,飯塚市大字川島字甘木80(飯塚特別地域気象観測所),33,39.2,130,41.6,19310722    ,200603011200
福岡県筑豊,飯塚市川島,飯塚市川島80（飯塚特別地域気象観測所）,33,39.2,130,41.6,200603011200,
福岡県筑豊,田川通報所,田川市奈良,33,38.2,130,47.8,19540601    ,不明
福岡県筑豊,福智町上野,田川郡福智町上野1632,33,42.9,130,47.6,199407151200,
福岡県筑後,大牟田市笹林,大牟田市笹林町1-1-1（大牟田市労働福祉会館）,33,1.8,130,26.9,199604011200,
福岡県筑後,久留米市津福本町,久留米市津福本町木ノ本2241（中央浄化センター）,33,18.2,130,29.6,199604011200,
福岡県筑後,久留米通報所,久留米市高野町,33,19.9,130,31.4,19540601    ,不明
福岡県筑後,八女市黒木町北木屋,八女市黒木町北木屋1180-3,33,12.9,130,41.6,199604011200,
福岡県筑後,筑前町下高場,朝倉郡筑前町下高場1900-3（筑前町消防団第3分団格納庫）,33,26.5,130,36.4,200112121200,
福岡県筑後,福岡夜須町篠隈,朝倉郡夜須町大字篠隈373,33,27.4,130,36.8,199604011200,200112121200
佐賀県北部,唐津市西城内,唐津市西城内1-1（唐津市役所）,33,27.0,129,58.0,199604011200,
佐賀県南部,佐賀市駅前中央,佐賀市駅前中央3-3-20（佐賀地方気象台）,33,16.0,130,18.3,189101      ,
佐賀県南部,太良町多良,藤津郡太良町大字多良1-6（太良町役場）,33,1.2,130,10.8,199604011200,
佐賀県南部,嬉野市不動山,嬉野市嬉野町大字不動山字幸助谷乙271-1,33,5.8,129,56.8,199407151200,
佐賀県南部,脊振山レーダー,神埼市脊振町服巻脊振山,33,26.0,130,21.3,19551014    ,不明
長崎県北部,佐世保市大黒町,佐世保市大黒町11-30(佐世保測候所),33,9.3,129,44.0,19470101    ,200203201200
長崎県北部,佐世保市干尽町,佐世保市干尽町4-1（佐世保港湾合同庁舎）,33,9.6,129,43.6,200203201200,
長崎県北部,平戸市岩の上町（旧）,平戸市岩の上町字大膳原321（平戸特別地域気象観測所）,33,21.6,129,33.1,19390111    ,201401081200
長崎県北部,平戸市岩の上町,平戸市岩の上町字大膳原321（平戸特別地域気象観測所）,33,21.6,129,33.1,201401081200,
長崎県南西部,長崎市南山手,長崎市南山手町11-51（長崎地方気象台）,32,44.0,129,52.1,18780701    ,
長崎県南西部,長崎市長浦町（旧）,長崎市長浦町2606（琴海行政センター旧議会棟）,32,54.6,129,47.0,199604011200,201101061200
長崎県南西部,長崎市黒浜町,長崎市黒浜町字永田600-4（黒浜ダム公園）,32,38.0,129,47.9,200707021200,
長崎県南西部,長崎市長浦町,長崎市長浦町2664（琴海地域センター長浦事務所）,32,54.6,129,47.1,201101061200,
長崎県南西部,諫早市東小路町（旧）,諫早市東小路町7-1（諫早市役所）,32,50.6,130,3.2,199604011200,201003311300
長崎県南西部,諫早市東小路町,諫早市東小路町7-1（諫早市役所）,32,50.6,130,3.2,201003311300,
長崎県南西部,大村通報所,長崎県大村市森岡郷,32,56.2,129,55.9,19551201    ,19750401    
長崎県島原半島,雲仙市国見町,雲仙市国見町多比良丙698-2（国見町多比良地区馬場集落センター）,32,51.8,130,18.1,200309021200,
長崎県島原半島,雲仙市小浜町雲仙,雲仙市小浜町雲仙320（雲仙岳特別地域気象観測所）,32,44.3,130,15.8,19230101    ,
長崎県島原半島,長崎国見町土黒甲,南高来郡国見町土黒甲1079,32,52.4,130,18.1,199604011200,200309021200
長崎県対馬,長崎対馬市厳原町東里,対馬市厳原町東里341-42（厳原特別地域気象観測所）,34,11.9,129,17.5,1886        ,
長崎県対馬,長崎対馬市上県町飼所,対馬市上県町飼所字ｶﾝﾉｺｴ430ﾙ（仁田ダム）,34,31.7,129,23.8,199407151200,
長崎県対馬,長崎対馬市美津島町鴨居瀬,対馬市美津島町鴨居瀬287-5（旧鴨居瀬小学校）,34,20.3,129,23.1,201307301200,
長崎県壱岐,壱岐市芦辺町中野,壱岐市芦辺町中野郷本村触字苧峰15（梅ノ木ダム）,33,47.9,129,43.8,199407151200,
長崎県五島,五島市木場町（旧）,五島市木場町991（福江特別地域気象観測所）,32,41.7,128,49.6,19620501    ,201310021200
長崎県五島,五島市富江町繁敷,五島市富江町繁敷字大荒河内978-10,32,39.5,128,44.8,199407151200,
長崎県五島,五島市木場町,五島市木場町991（福江特別地域気象観測所）,32,41.7,128,49.6,201310021200,
長崎県五島,富江測候所,南松浦郡富江町立郷403,32,37.2,128,45.9,19240701    ,19620430    
熊本県阿蘇,南阿蘇村中松,阿蘇郡南阿蘇村大字中松字古坊中3845-12（阿蘇山地震火山観測施設）,32,52.8,131,4.4,19311105    ,
熊本県熊本,八代市平山新町,八代市平山新町2627（熊本高等専門学校八代）,32,28.5,130,36.5,199604011200,
熊本県熊本,八代市泉町（旧）,八代市泉町柿迫1111（八代市立泉中学校）,32,32.9,130,48.7,199407151200,201207091200
熊本県熊本,八代市泉町,八代市泉町柿迫1111（八代市立泉中学校）,32,32.9,130,48.8,201303261200,
熊本県熊本,八代市泉町（臨時）,八代市泉町柿迫1111（八代市立泉中学校）,32,32.9,130,48.7,201207181200,201303261200
熊本県熊本,玉名市築地,玉名市築地1512（小岱山ふるさと自然公園）,32,58.1,130,31.8,199407151200,
熊本県熊本,宇土市新小路町,宇土市新小路町95（宇土市教育委員会）,32,41.1,130,39.7,201604191500,201807121200
熊本県熊本,御船町高木,御船町高木1633,32,44.3,130,47.5,199911171200,200003281200
熊本県熊本,益城町木山,上益城郡益城町木山381-1（益城町文化会館）,32,47.4,130,49.2,201604172200,201806181200
熊本県熊本,益城町惣領（旧）,上益城郡益城町惣領1470（益城町保健福祉センター）,32,47.1,130,48.1,201806181200,201903141200
熊本県熊本,宇城市松橋町,宇城市松橋町大野85（宇城市役所）,32,38.9,130,41.1,199604011200,
熊本県熊本,浜町通報所,山都町浜町,32,40.9,130,58.8,19540601    ,不明
