地域名称,震度観測点名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
沖縄県本島中南部,南城市玉城字玉城,南城市玉城字玉城420（玉城青少年の家）,26,8.6,127,47.0,201203241200,
沖縄県久米島,久米島町謝名堂（旧）,久米島町字謝名堂906-6(久米島特別地域気象観測所),26,20.3,126,48.2,1959        ,200802060830
沖縄県久米島,久米島町山城,島尻郡久米島町字山城799,26,19.8,126,47.0,199407151200,
沖縄県久米島,久米島町謝名堂,島尻郡久米島町字謝名堂906-6（久米島特別地域気象観測所）,26,20.3,126,48.3,200802061440,
沖縄県大東島,南大東村在所,島尻郡南大東村字在所306（南大東島地方気象台）,25,49.8,131,13.7,1957        ,
沖縄県大東島,南大東村池之沢,島尻郡南大東村字池之沢498-5,25,49.2,131,13.4,199407151200,
沖縄県大東島,北大東村黄金山,島尻郡北大東村中野132-1,25,56.9,131,17.8,201307301200,
沖縄県宮古島,多良間村塩川,宮古郡多良間村字塩川801-6,24,38.5,124,42.3,199407151200,
沖縄県宮古島,宮古島市平良下里,宮古島市平良字下里1020-7（宮古島地方気象台）,24,47.7,125,16.7,1938        ,
沖縄県宮古島,宮古島市平良西仲宗根,宮古島市平良字西仲宗根745-1,24,49.1,125,17.5,199407151200,201303261200
沖縄県宮古島,宮古島市城辺福北,宮古島市城辺字福里245-3（城辺総合運動公園）,24,45.8,125,24.2,200007181200,
沖縄県宮古島,宮古島市平良池間,宮古島市平良字池間90-9(宮古島消防署池間詰所）,24,55.4,125,14.9,201003311300,
沖縄県宮古島,宮古島市伊良部国仲,宮古島市伊良部字国仲418(伊良部中学校）,24,49.7,125,10.4,201003311300,202002201200
沖縄県宮古島,宮古島市上野新里,宮古島市上野字新里420-3,24,44.5,125,19.7,201303261200,
沖縄県宮古島,宮古島市伊良部前里添,宮古島市伊良部字前里添945（伊良部カントリーパーク）,24,50.0,125,11.6,202002201200,
沖縄県石垣島,石垣市登野城,石垣市字登野城428（石垣島地方気象台）,24,20.2,124,9.9,1896        ,
沖縄県石垣島,石垣市新川,石垣市字新川868（県立石垣少年自然の家）,24,22.1,124,8.6,199407151200,
沖縄県石垣島,石垣市平久保,石垣市平久保110（平久保小学校）,24,35.2,124,18.6,201003311300,
沖縄県与那国島,与那国町祖納,八重山郡与那国町字与那国999-1（与那国島特別地域気象観測所）,24,28.0,123,0.6,1957        ,
沖縄県与那国島,与那国町久部良（旧）,八重山郡与那国町字与那国4022-1,24,27.3,122,56.5,199407151200,199903170900
沖縄県与那国島,与那国町久部良,八重山郡与那国町与那国4022-182(総合運動公園）,24,27.1,122,56.7,201003311300,
沖縄県西表島,竹富町大原,八重山郡竹富町南風見（ﾊｴﾐ）201-47（竹富町離島振興総合センター）,24,16.4,123,52.8,200012121000,
沖縄県西表島,竹富町黒島,八重山郡竹富町黒島1143-4（黒島小中学校）,24,14.5,124,0.5,200007181200,
沖縄県西表島,竹富町波照間,八重山郡竹富町字波照間志多阿原4566-27（波照間空港）,24,3.6,123,48.3,200007181200,
沖縄県西表島,竹富町船浮,八重山郡竹富町字西表2435（船浮小中学校）,24,20.4,123,43.7,200707021200,
沖縄県西表島,竹富町西表,八重山郡竹富町字西表東祖納671-1(西表島測候所),24,23.4,123,44.9,1954        ,20030310    
